Emotion,Text
3,sage act upgrad list tommorow
5,way homegirl babi funer man hate funer realli show bless
3,eye true hazel eyeand brilliant regular featur open counten complexion oh bloom full health pretti height size firm upright figur health mere bloom air head glanc one hear sometim child pictur health alway give idea complet pictur grownup health loveli
3,ugh babe hugggzzz u babe naamaz nga ako e babe e despit nega ma pinaramdam fil ko ang
2,im expect extrem import phonecal minut terror opportun
5,couldnt wait see live miss nh wasnt pain enuf suraj perform last gig delhi
7,maken tip stop op een moment dat je het hele project wel ziet zitten nu du derestkomtlaterwel
7,en dan krijg je ff een cadeautj van een tweep melik
7,drummer boy bij op verzoek van welk uitvoer van wie
0,bull toss effigi hand becam infuri
5,peopl hide behind fake smile
3,life leopold must truli happi hope prayer belov son seem last come fruition
2,assault laughter noth stand mark twain emotionalcourag
0,everyth everybodi
5,shakuhachi dress mm len pain
7,haha cours come home differ hous leav parent redo entir downstair without warn
3,feel fail french fuckfrench
3,goodlet go
7,reeeeeellllyyyyyyi need tell someth guess go phone fuck gotohellmexicanphon
5,oh that bad call doctor
3,fell love x overnight felt confid selfesteem respons worthwhil
2,primit instinct that friendit warn pay attent ur dangerit tell act save
0,talk
2,ride friend car speed kmh snowcov motorway would like get
5,your welcom glad could make night love pleas dont leav im gonna miss much
7,anoth end almost poop pant end last week crazi end decod
3,one could get terribl ecstat would danger thing
5,much lose someth go fat burger dinner dad
3,select studi univers
3,yeah age
2,friend misunderstood know heartoflif good
2,xaxaadd three thing symptom call nervoso xaxau wanna learn
6,nobodi doubt fail recognis temporari financi embarrass
2,bank made secret dismay virgin ventur airlin
3,pass ba exam first class result
5,homi go ride poni look like sad puppi wanttorid ankleneedstoh
7,pop amp roll across floor
5,omg decemb th window open hous mr winter jack frost miss
7,alleen nog even morgen cadootj kopen stadj en dan helema klaar
7,im planet im one planet hold life amp discov
0,kill work see number slaker wander around noth
2,year ago father ill stay hospit long time experienc terribl feel might lose
5,thought alreadi agre everyth go take week rework
0,parent didnt allow go social function friend attend
2,quotth famili bedrock societi unless protect institut marriag countri fallquot
5,bro team lost least play swag freshcut
3,heard select fot first year univers zambia form five chikola secondari school
0,someon tri rape one best friend claim fault hassl claim loos threaten sue
3,welp time studi next day
3,head campu rain take grad photo
2,dismay way kid savag flora stonethwait good exampl
5,moment terror go drink hot chocol know burn mouth
5,well lot pressur boss pushi assign three project deadlin near still finish project
5,sink broken night go lambnow pbj
5,appar lost bestfriend
2,shakiest point lead histori colleg footbal lol
2,peopl get trap elev actual take stair next time let take wear quot life
5,rare desper need someon talk tonight one night everyon sleep im loss
5,sr hs one class counselor die hepat sensit knew shyness drew improv imag miss funer could public griev parent didnt understand
7,good morn store today enjoytheday
4,motherinlaw use thing us wasnt disciplin enough disciplin much also complain food fed school sent everyth els sun
3,feel awesom
3,bring ive bought christma present didnt trawl load shop
7,almost forgot hair red look mirror
2,heard father found letter boyfriend call talk
2,result see walk situat wo lord faith realiz get b
2,shot horrifi look
4,well didnt think first start talk found extrem funni witti couldnt stop laugh joke much common like team music amazingli love chines food feel go great friend
2,applic
3,shit pant pure gravi
2,two year ago saw film tv even make afraid
3,class jam last paper quarter reason celebr though studi begin right
5,noooooo pongan super torp la de la mañana entendemo que nadi lo pero yo sí voy levantar para verlo
2,see stray dog run right pass morehous campu
0,side effect smoke reefer
2,year old frequent pursu other got sound thrash
2,team hot ye sir
2,dad im scare
3,cant wait sleep tomorrow must studi tonight tomorrow next night oh essay due
0,juvenil emot even simpl mind creatur express
0,suppress annoy call littl sara repli well
3,time unpack finish homework
7,stop today ga small town attend came tell quotw full servic young tweeter clue
7,cant wait open christma prezzi christma
7,decor entir hous christma cheer mommi
0,sli left feel absolut livid
7,iemand nog surpris ide voor een vrouw
1,im sorri blanket isnt comfort enough kid isnt hehasfeelingstoo eat scab
0,left student newspap chines univers tabl librari disappear came back
3,choral concert appear solist concert good forgot hard work done remain undescrib joy feel warmth secur etc
2,girl pictur book twitter pic lol nah havent use itor rather tri lol
7,troubl come realis youv gone watch rerun live one oh
5,glanc saw august anguish eye thought understood
3,world cant give happi one last lot longer gofigur
0,dip cotton wool water dab livid puffi eye
5,sad afford welcom given beirut hostag told deepli move audienc agm last month
3,oh earli morn preach father
3,rob tribul u hav enter mean provid joy prayer communion w god
7,thought id stop say spend christma holiday lake miss
3,good morn jim
2,afraid tomorrow saw yesterday love today less
0,soud like neighbour hell
3,chri paul sum goe clipper idk ill lose
7,chocomouss vergt ml slagroom dat heb ik du niet hui en je moet het met de hand kloppen niet met een mixer kansloo
5,time lost badminton match zambia close badminton championship
3,advertis appear novoy russkoy weekend caus buzz excit soviet expatri enclav brighton beach also known littl odessa
2,anxieti lift think im go pass statist mayb even half decent got third exam
3,thrill reunit best friend today rain though find way theater danc show downtown
5,brand im afraid
2,wait till factor love show miss watch
3,studi day tomorrow day saturday sunday
5,saw empti summer shandi box next aunt fridg lien found
2,nearli year later im drive freeway rush hour without fear conquer confid feel great
5,voic shook face white anguish
5,go loner target panach hob lob
3,would normal push heart rate puls alreadi race due alcohol danc gener parti excit increas notic normal
0,teacher suspici popular annoy lack interest academ work infuri could still achiev high mark examin
0,broke artist work sever week chang made broken without permiss right
7,net halfuur bezig geweest bij de kraan om de lijm erg te krijgen dinnetj
3,took nap hour watch christma movi
5,owner mean heartbreak loss famili pet
2,tien de la taurin dan le croquett friski chat dintérieur miaou
0,imposs cheat
5,afternoon nap burn episod dvd prepar stu hard drive reformat
3,ill work pmam black friday
4,noth
2,home sleep heard robber break hous
5,want english bulldog puppi
0,disappoint actual consid taylor swift role eponin movi version le mi
3,wish everyon saw church highlight christma
1,link poor perform exodu west east german disgruntl commun
5,express commun sympathi mani local children south ronaldsay made sent card four devast mother
5,guy friend gonna come window fell asleep came
